british,american
railway,railroad
MA dissertation,MA thesis
doctoral thesis,doctoral dissertation
draughts,checkers
abseil,rappel
antenatal,prenatal
anticlockwise,counterclockwise
aubergine,eggplant
biscuit,cookie
car park,parking lot
corn flour,corn starch
cupboard,closet
demister,defroster
drawing pin,thumbtack
Father Christmas,Santa Claus
hire purchase,installment plan
inside leg,inseam
mobile phone,cell phone
nappy,diaper
notice board,bulletin board
number plate,license plate
plasterboard,wallboard
polystyrene,styrofoam
porridge,oatmeal
perspex,plexiglass
pushchair,stroller
rubbish,garbage
skirting board,baseboard
spring onion,green onion
sticky tape,scotch tape
sweets,candy
torch,flashlight
tracksuit,sweatsuit
trousers,pants
valuer,appraiser
lorry,truck
chemistâ€™s,drug store
elastic band,rubber band
estate agent,realtor
cot,crib
off-licence,liquor store
crayfish,crawfish
skilful,skillful
wilful,willful
fulfil,fulfill
fulfils,fulfills
instil,instill
instils,instills
appal,appall
appals,appalls
flavour,flavor
mould,mold
moult,molt
smoulder,smolder
moustache,mustache
centre,center
centres,centers
metre,meter
kilometre,kilometer
kilometres,kilometers
theatre,theater
analyse,analyze
paralyse,paralyze
defence,defense
offence,offense
pretence,pretense
revelling,reveling
revelled,reveled
travelled,traveled
travelling,traveling
travelle,traveler
marvellous,marvelous
plough,plow
aluminium,aluminum
jewellery,jewelry
pyjamas,pajamas
whisky,whiskey
neighbour,neighbor
honour,honor
colour,color
behaviour,behavior
labour,labor
humour,humor
favour,favor
favourite,favorite
favourites,favorites
harbour,harbor
tumour,tumor
vigour,vigor
rumour,rumor
rigour,rigor
demeanour,demeanor
clamour,clamor
odour,odor
armour,armor
endeavour,endeavor
parlour,parlor
vapour,vapor
saviour,savior
splendour,splendor
fervour,fervor
savour,savor
valour,valor
candour,candor
ardour,ardor
rancour,rancor
succour,succor
arbour,arbor
catalogue,catalog
analog,analog
acknowledgement,acknowledgment
goitre,goiter
foetus,fetus
paediatrician,pediatrician
oesophagus,esophagus
manoeuvre,maneuver
oestrogen,estrogen
anaemia,anemia
